month,txns,sum_amount,avg_amount,active_users,fraud_count,fraud_rate
2013-01-01,137144,5867145.890000001,42.78091560695327,1455,0,0.0
2013-02-01,125540,5419053.010000001,43.16594718814719,1461,41,0.0327
2013-03-01,139859,6000191.550000003,42.90171923151173,1461,55,0.0393
2013-04-01,134925,5882866.240000002,43.60100974615528,1465,0,0.0
2013-05-01,140146,6068919.780000001,43.304266836013866,1469,0,0.0
2013-06-01,136457,5959994.66,43.676723509970174,1467,0,0.0
2013-07-01,141391,6156867.4399999995,43.54497414969836,1469,114,0.0806
2013-08-01,141217,6056971.439999999,42.89123434147449,1470,351,0.2486
2013-09-01,136426,5873594.959999997,43.05333997918285,1472,400,0.2932
2013-10-01,140486,6103524.619999999,43.44578548752188,1470,433,0.3082
2013-11-01,136137,5872661.930000002,43.13788264762702,1470,281,0.2064
2013-12-01,141189,6088889.310000002,43.12580519728874,1472,343,0.2429
2014-01-01,141847,6107462.7,43.05669277460926,1476,313,0.2207
2014-02-01,128101,5583581.379999996,43.58733639862295,1478,274,0.2139
2014-03-01,141642,6113728.239999999,43.163244235466905,1477,358,0.2527
2014-04-01,136518,5927878.149999999,43.42195278278322,1478,107,0.0784
2014-05-01,141021,6039076.240000002,42.82394990816969,1479,0,0.0
2014-06-01,137648,5955883.080000001,43.268940195280734,1483,0,0.0
2014-07-01,141464,6084224.919999998,43.008998190352315,1481,0,0.0
2014-08-01,142829,6196362.61,43.383084737693316,1483,0,0.0
2014-09-01,138146,5887657.69,42.619096390775,1485,0,0.0
2014-10-01,141364,6138202.929999998,43.421259514445,1486,0,0.0
2014-11-01,138288,5942898.02,42.97479188360522,1488,0,0.0
2014-12-01,143475,6141931.329999998,42.80837309635826,1489,0,0.0
2015-01-01,143002,6103377.680000002,42.68036586900884,1491,0,0.0
2015-02-01,129109,5597435.95,43.354343616634004,1494,0,0.0
2015-03-01,144297,6238460.600000001,43.2334740153988,1495,15,0.0104
2015-04-01,139027,6031137.570000001,43.38105238550784,1497,349,0.251
2015-05-01,144288,6240863.14,43.25282171767574,1499,283,0.1961
2015-06-01,140534,6074974.589999997,43.227792491496714,1500,271,0.1928
2015-07-01,145189,6248235.809999999,43.0351873075784,1500,416,0.2865
2015-08-01,144993,6193437.35,42.71542315835937,1501,358,0.2469
2015-09-01,140114,6039763.730000002,43.10606884394138,1504,277,0.1977
2015-10-01,144104,6202128.119999997,43.0392502636984,1502,317,0.22
2015-11-01,140387,5946976.479999999,42.3613046792082,1502,353,0.2514
2015-12-01,146327,6257210.999999996,42.76183479467222,1504,642,0.4387
