dt,txns,fraud_rate,fr_baseline,fraud_z
2015-03-31,4787,0.2298,0.0028,14.89
2017-11-21,4841,0.1446,0.0023,11.4
2013-02-17,4517,0.1328,0.0022,11.09
2013-02-19,4125,0.2424,0.0066,8.87
2015-04-03,4382,0.6846,0.0221,8.7
2013-07-26,4750,0.6947,0.0317,8.41
2015-04-01,4843,0.351,0.0104,7.71
2017-11-22,4848,0.2063,0.0071,6.91
2013-09-28,4690,1.5352,0.2237,5.86
2013-07-20,4613,0.2168,0.0078,4.88
2017-12-03,4386,0.3876,0.0407,4.7
2019-10-08,4248,0.6827,0.108,4.65
2013-07-21,4585,0.2617,0.015,4.3
2018-04-09,4323,0.6477,0.1372,3.73
2015-11-15,4765,0.6925,0.1817,3.51
2013-11-29,4695,0.7668,0.1561,3.4
2017-11-30,4871,0.2464,0.0325,3.39
2013-08-23,4749,0.9055,0.2048,3.29
2017-11-23,4804,0.1665,0.014,3.29
2014-02-08,4696,0.937,0.192,3.26
2013-10-19,4606,1.5849,0.3416,3.25
2015-05-22,4385,0.7982,0.203,3.25
2015-07-06,4867,0.6986,0.1913,3.24
2015-11-27,4424,0.8363,0.2165,3.13
2016-06-12,4850,0.866,0.168,3.09
2013-03-10,4714,0.2758,0.0567,3.04
2013-10-18,4907,1.3246,0.299,3.03
2017-12-12,4825,0.4352,0.0861,3.02
