dt,txns,net_amount,avg_ticket,active_users,active_cards,fraud_count,fraud_rate,online_share,refund_count
2013-01-01,4671,174952.19,37.45,1323,2185,0,0.0,14.26,219
2013-01-02,4025,195611.66,48.6,1320,2108,0,0.0,12.42,164
2013-01-03,4575,189366.55,41.39,1341,2233,0,0.0,11.32,214
2013-01-04,4447,188117.28,42.3,1323,2185,0,0.0,11.47,202
2013-01-05,4570,190480.58,41.68,1330,2201,0,0.0,11.05,223
2013-01-06,4541,199182.48,43.86,1330,2195,0,0.0,11.56,221
2013-01-07,4613,201525.38,43.69,1335,2195,0,0.0,11.27,223
2013-01-08,4121,189213.88,45.91,1310,2074,0,0.0,11.84,200
2013-01-09,4187,180868.57,43.2,1280,2092,0,0.0,11.92,229
2013-01-10,4625,185158.42,40.03,1322,2216,0,0.0,11.94,230
2013-01-11,4749,198735.45,41.85,1332,2249,0,0.0,11.56,221
2013-01-12,4551,189554.81,41.65,1327,2185,0,0.0,11.69,220
2013-01-13,4539,196675.12,43.33,1326,2233,0,0.0,11.1,212
2013-01-14,4679,208299.76,44.52,1338,2205,0,0.0,10.69,241
2013-01-15,4044,185232.14,45.8,1304,2055,0,0.0,12.93,169
2013-01-16,4086,167287.6,40.94,1303,2079,0,0.0,12.19,220
2013-01-17,4527,167676.67,37.04,1322,2190,0,0.0,13.19,205
2013-01-18,4484,192517.65,42.93,1320,2182,0,0.0,11.8,205
2013-01-19,4539,193287.32,42.58,1339,2212,0,0.0,11.39,205
2013-01-20,4526,192098.33,42.44,1323,2184,0,0.0,10.98,218
2013-01-21,4574,206428.71,45.13,1350,2208,0,0.0,10.93,202
2013-01-22,4010,186727.26,46.57,1308,2077,0,0.0,11.9,155
2013-01-23,4073,174815.43,42.92,1306,2105,0,0.0,11.78,200
2013-01-24,4449,189936.51,42.69,1327,2156,0,0.0,11.44,214
2013-01-25,4652,191066.09,41.07,1329,2204,0,0.0,11.39,240
2013-01-26,4490,185800.21,41.38,1322,2150,0,0.0,11.69,229
2013-01-27,4495,189516.48,42.16,1330,2210,0,0.0,10.88,216
2013-01-28,4592,199243.4,43.39,1337,2194,0,0.0,11.22,222
2013-01-29,4027,187239.69,46.5,1315,2079,0,0.0,12.42,154
2013-01-30,4061,170846.23,42.07,1290,2066,0,0.0,11.8,214
2013-01-31,4622,199684.04,43.2,1325,2179,0,0.0,11.68,213
2013-02-01,4614,198862.85,43.1,1353,2245,0,0.0,12.44,227
2013-02-02,4506,189714.41,42.1,1317,2183,0,0.0,11.47,195
2013-02-03,4703,197360.31,41.96,1339,2216,0,0.0,11.67,234
2013-02-04,4739,206169.45,43.5,1345,2236,0,0.0,11.29,223
2013-02-05,4094,183240.95,44.76,1282,2078,0,0.0,12.53,169
2013-02-06,4174,184363.04,44.17,1309,2127,0,0.0,12.03,213
2013-02-07,4607,196404.91,42.63,1341,2218,0,0.0,11.89,232
2013-02-08,4610,185982.65,40.34,1345,2215,0,0.0,11.43,229
2013-02-09,4604,195439.24,42.45,1335,2203,0,0.0,11.38,224
2013-02-10,4580,195415.47,42.67,1351,2253,0,0.0,11.27,242
2013-02-11,4638,214165.53,46.18,1330,2228,0,0.0,11.64,229
2013-02-12,4109,192176.36,46.77,1318,2133,0,0.0,11.73,177
2013-02-13,4280,178895.47,41.8,1330,2163,0,0.0,12.45,254
2013-02-14,4524,185815.97,41.07,1323,2185,0,0.0,11.58,204
2013-02-15,4538,190538.2,41.99,1336,2209,0,0.0,11.37,203
2013-02-16,4649,192626.11,41.43,1346,2235,3,0.0645,11.25,242
2013-02-17,4517,192232.01,42.56,1341,2219,6,0.1328,11.84,222
2013-02-18,4623,194588.18,42.09,1323,2194,0,0.0,11.27,241
2013-02-19,4125,204856.2,49.66,1314,2112,10,0.2424,12.58,163
2013-02-20,4198,185106.69,44.09,1319,2133,0,0.0,12.91,221
2013-02-21,4728,176980.57,37.43,1338,2223,1,0.0212,14.26,245
2013-02-22,4533,190687.93,42.07,1343,2218,0,0.0,11.58,204
2013-02-23,4557,197996.67,43.45,1314,2195,3,0.0658,11.94,223
2013-02-24,4543,204791.32,45.08,1318,2189,6,0.1321,12.24,204
2013-02-25,4735,218365.38,46.12,1342,2223,0,0.0,11.76,232
2013-02-26,4090,185067.62,45.25,1307,2082,7,0.1711,11.86,172
2013-02-27,4369,192031.34,43.95,1315,2171,0,0.0,11.9,254
2013-02-28,4553,189178.18,41.55,1343,2221,5,0.1098,10.61,229
2013-03-01,4583,190017.1,41.46,1346,2235,2,0.0436,12.13,216
2013-03-02,4688,194899.16,41.57,1344,2268,3,0.064,11.16,235
2013-03-03,4513,188454.81,41.76,1341,2172,2,0.0443,11.48,228
2013-03-04,4649,209521.69,45.07,1343,2255,2,0.043,11.51,230
2013-03-05,4045,195217.78,48.26,1311,2083,7,0.1731,12.21,162
2013-03-06,4311,184161.71,42.72,1328,2167,2,0.0464,11.85,232
