threshold,tp,fp,fn,recall,precision,alerts_per_fraud
0.3,1408,325970,3170,0.3076,0.0043,232.5
0.35,1016,253834,3562,0.2219,0.004,250.8
0.4,826,208069,3752,0.1804,0.004,252.9
0.45,655,175207,3923,0.1431,0.0037,268.5
0.5,572,148576,4006,0.1249,0.0038,260.7
0.55,489,125510,4089,0.1068,0.0039,257.7
0.6,411,105216,4167,0.0898,0.0039,257.0
0.65,367,92598,4211,0.0802,0.0039,253.3
0.7,275,78801,4303,0.0601,0.0035,287.5
0.75,210,69707,4368,0.0459,0.003,332.9
0.8,178,63809,4400,0.0389,0.0028,359.5
0.85,140,55976,4438,0.0306,0.0025,400.8
